Client ID,ACE CIS ID,Case ID#,Date Opened,Date Closed,Zip Code,County of Residence,ACE Gender,ACE Race/Ethnicity,Current Age,ACE Client's Primary Language,Limited English Proficiency,Needs Translation Services,ACE Number of People Over 18 in Household,ACE Number of People under 18 in Household,Total Annual Income ,ACE Income Sources,Aware of ACE Before Calling,Called Elsewhere First,ACE Contact Elsewhere Detail,Has Eviction Been Filed?,ACE Court/Agency where the matter is pending,Disability in Household,Disability Related to Eviction,Current Monthly Rent,Type of Eviction Case,ACE Other Type of Eviction Case,10 Day Notice from Landlord,Months Behind Rent (Client),Months Behind Rent (Landlord),Reason Behind on Rent,ACE Conditions Issues,ACE Conditions Issues Other,Informed Landlord about Conditions,Can Pay Toward Rent,Current Property Move-In Date,Public/Subsidized/Voucher Housing,Move Options,Previous Evictions,Previous Eviction in Past Year,Wants to Stay in Rental Unit,Applied for Rental Assistance,Rent Assist Application Status,Reason Didn't Apply for Assistance,Subsidized Housing Program,Other Subsidized Housing Program,Landlord Received Rent Assist Funds,Landlord Representation,Tenant's Goals,Tenant's Other Goal,Goal Status - Avoid Subsidy Termination,Goal Status - Mitigate Damages,Goal Status - Obtain Accomodation,Goal Status - Other Goal,Goal Status - Prevent Eviction Filing,Goal Status - Prevent Eviction Judgment,Goal Status - Prevent Involuntary Move,Goal Status - Recover Personal Property,Goal Status - Reduce Rent/Fee,Goal Status - Remediate Defective Conditions,Goal Status - Remedy Housing Discrimination,Goal Status - Secure Monetary Relief,Goal Status - Secure More Time to Move,Goal Status - Secure Rent Assistance,Damage Mitigation Amount,Amount Owed Reduced,Client Move or Stay,Time Secured for Move,Agreement to Remediate,ACE Level of Service,ACE Level of Service Other Appropriate Remedies,ACE Level of Service Other Services Provided,ACE Case Resolutions,ACE Case Resolution Other Benefit,ACE Case Handler,ACE Funding Source
1341197,,21-0464882,7/28/2023,7/31/2023,21703,Frederick County,Female,"African American or Black, not of Hispanic Origin",46,English,,No,1,1,3840,Income from their employment,No,No.,,Yes,,No,,1465,Failure to pay rent,,No,1 month,1 month,Job loss or reduced/inconsistent hours,,,,No,3-5 years,,Street/unsheltered,,,Yes,,,,,,,Represented by agent,,,,,,,,,,,,,,,,,0,No,Stayed,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1463969,,23-0518497,8/18/2023,12/3/2023,21701,Frederick County,Male,"White, not of Hispanic Origin",57,English,No,,2,0,18000,SSI or SSD,Yes,No.,,Yes,,,,1432,Failure to pay rent,,,,,,,,,,3-5 years,No,Street/unsheltered,No,,Prefer not to answer,No,,,,,,,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Yes – the amount was reduced through legal negotiation,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction filing,,In-house staff,ACE Special Fund
1467049,,23-0519909,7/25/2023,3/7/2024,21001,Harford County,Female,"African American or Black, not of Hispanic Origin",75,English,Yes,No,1,0,13164,SSI or SSD,Not asked,No.,,Yes,,Yes,No,0,Failure to pay rent,,Yes,,,,,,,,,Yes,,Yes,Yes,Already vacated,Not asked,,,Project-based Section 8,,Not asked,Represented by attorney,,,,,,,,,,,,,,,,,0,No,Moved,,,Representation in Judicial Litigation,,,Prevented eviction from public or subsidized housing,,In-house staff,ACE Special Fund
1467515,,23-0520105,7/3/2023,7/5/2023,21223,Baltimore City,Female,"African American or Black, not of Hispanic Origin",37,English,,No,1,0,2400,Other,, ,,,,,,0,Failure to pay rent,,,,,,,,,,,Yes,Not asked,,,Yes,,,,,,,Represented by attorney,Prevent eviction judgment,,,,,,,Not achieved,,,,,,,,,0,No,Not asked,,,Counseling,,,Obtained counseling services on a housing matter,,In-house staff,ACE Special Fund
1467517,,23-0520107,7/3/2023,7/19/2023,21613,Dorchester County,Female,Prefer not to respond,39,English,No,,1,More than 5,21936,SSI or SSD,, ,,Yes,,,,800,Holdover,,,,,,"Infestation or pests, Mold, Unstable or damaged flooring or carpet, Wall/ceiling/floor damage",,,,1-2 years,Not asked,Not asked,Yes,Yes,Yes,Not asked,,,,,Not asked,Self-represented,"Prevent involuntary move, Remediate defective conditions",,,,,,,,Achieved,,,Not achieved,,,,,0,Not applicable to this case,Stayed,,Client's goal changed,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
1467593,,23-0520138,7/3/2023,10/1/2023,21215,Baltimore City,Male,"African American or Black, not of Hispanic Origin",45,English,No,,1,0,30000,Income from their employment,Not asked, ,,Yes,,Not asked,,870,Failure to pay rent,,Not asked,I believe I am current on my rent,6 or more months,,,,,,3-5 years,No,Not asked,No,,Yes,Yes,Approved,,,,No,Represented by agent,"Mitigate damages, Other client goal (please specify)",Argue lead certificate not in effect,,Planned,,,,,,,,,,,,,0,,Not asked,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1467608,,23-0520148,7/3/2023,3/2/2024,20650,St. Mary's County,Female,"White, not of Hispanic Origin",29,English,No,,1,2,10400,Income from their employment,Yes,No.,,Yes,,No,,950,Failure to pay rent,,Yes,I believe I am current on my rent,1 month,,,,,,1-2 years,Yes,Unknown,Yes,Yes,No,No,,"I tried, but funds were not available",USDA Rural Housing,,Not asked,Represented by attorney,Prevent eviction judgment,,,,,,,Not achieved,,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Moved,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1467636,,23-0520163,7/3/2023,7/20/2023,21207,Baltimore County,Female,"African American or Black, not of Hispanic Origin",30,English,,No,1,2,20800,Income from their employment,No,No.,,Yes,,No,,0,Failure to pay rent,,Yes,1 month,1 month,Not asked,,,,No,1-2 years,No,Not asked,Yes,Yes,Yes,Not asked,,,,,Not asked,Represented by agent,Secure time to move (30 days or more),,,,,,,,,,,,,,Achieved,,0,No,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1467648,,23-0520169,7/3/2023,7/28/2023,21074,Carroll County,Male,"White, not of Hispanic Origin",31,English,,,2,1,63600,"Income from another household member's employment, Income from their employment",No, ,,,,No,,0,Other,Wrongful Detainer,,,,,,,,,,,Other,,,Not asked,,,,,,,Represented by agent,,,,,,,,,,,,,,,,,0,No,Moved,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1467657,,23-0520172,7/3/2023,6/28/2024,20747,Prince George's County,Female,"African American or Black, not of Hispanic Origin",33,English,No,,1,2,25200,Income from their employment,,No.,,No,District Court,Not asked,,0,Holdover,,,,,,,,,,1-2 years,Not asked,Not asked,Yes,Yes,Not asked,Not asked,,,,,,Represented by attorney,"Prevent eviction judgment, Prevent involuntary move",,,,,,,Planned,Planned,,,,,,,,0,Not applicable to this case,Not asked,,,Counseling,,,Obtained counseling services on a housing matter,,In-house staff,ACE Special Fund
1467740,,23-0520208,7/5/2023,12/9/2023,20906,Montgomery County,Female,"White, not of Hispanic Origin",57,English,No,,1,0,9600,SSI or SSD,Not asked,No.,,No,District Court,Not asked,,0,Holdover,,,,,,,,,,1-2 years,Unsure,Unknown,Not asked,,Yes,Not asked,,,,,,Self-represented,Recover personal property,,,,,,,,,Not achieved,,,,,,,0,No,Stayed,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1467748,,23-0520211,7/5/2023,8/1/2023,21740,Washington County,Female,"White, not of Hispanic Origin",55,English,,No,1,0,26000,Income from their employment,, ,,,,,,0,Failure to pay rent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,Not asked,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,LL agreed not to act on WOR if client paid up back rent weekly,In-house staff,ACE Special Fund
1467858,,23-0520257,7/5/2023,7/17/2023,21222,Baltimore County,Female,"White, not of Hispanic Origin",34,English,No,,2,2,41600,Income from their employment,No,No.,,Yes,,No,,0,Failure to pay rent,,Yes,1 month,1 month,Not asked,,,,"Yes, some of it",1-2 years,Not asked,Not asked,Not asked,,Not asked,Not asked,,,,,Not asked,Represented by agent,Secure time to move (30 days or more),,,,,,,,,,,,,,Achieved,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1467865,,23-0520261,7/5/2023,7/17/2023,21236,Baltimore County,Female,"African American or Black, not of Hispanic Origin",31,English,Yes,No,1,1,34892,Income from their employment,Not asked,No.,,Yes,,Not asked,,0,Failure to pay rent,,Yes,1 month,1 month,Not asked,,,,"Yes, some of it",Less than 1 year,Not asked,Not asked,Not asked,,Not asked,Not asked,,,,,Not asked,Represented by agent,Secure time to move (30 days or more),,,,,,,,,,,,,,Achieved,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing, Obtained representation in housing defensive litigation",,In-house staff,ACE Special Fund
1467868,,23-0520264,7/5/2023,7/17/2023,21236,Baltimore County,Female,"African American or Black, not of Hispanic Origin",48,English,Not asked,Not asked,1,1,39000,Income from their employment,Not asked,No.,,Yes,,Not asked,,0,Failure to pay rent,,Yes,1 month,1 month,Not asked,,,,"Yes, some of it",1-2 years,Not asked,Not asked,Yes,Yes,Yes,Not asked,,,,,Not asked,Represented by agent,Secure time to move (30 days or more),,,,,,,,,,,,,,Achieved,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1467894,,23-0520283,7/5/2023,7/17/2023,21207,Baltimore County,Female,"African American or Black, not of Hispanic Origin",26,English,Not asked,Not asked,1,1,38200,Income from their employment,Not asked,No.,,Yes,,Not asked,,0,Failure to pay rent,,Unsure,1 month,1 month,Not asked,,,,Not asked,Less than 1 year,Not asked,Not asked,Not asked,,Not asked,Not asked,,,,,Not asked,Represented by agent,Prevent eviction judgment,,,,,,,Not achieved,,,,,,,,,0,Not applicable to this case,Stayed,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1467913,,23-0520298,7/5/2023,3/26/2024,20748,Prince George's County,Female,"African American or Black, not of Hispanic Origin",58,English,No,,1,0,26000,Income from their employment,No,No.,,No,District Court,No,,0,Failure to pay rent,,Not asked,I believe I am current on my rent,1 month,,,,,,Less than 1 year,Yes,Not asked,Not asked,,Yes,Not asked,,,Housing Choice Voucher Program (HCVP) – tenant-based voucher,,,Self-represented,Prevent eviction filing,,,,,,Planned,,,,,,,,,,0,No,Stayed,,,Counseling,,,Obtained counseling services on a housing matter,,In-house staff,ACE Special Fund
1468026,,23-0520349,7/5/2023,9/1/2023,20650,St. Mary's County,Female,"White, not of Hispanic Origin",44,English,No,,1,3,38756,"Child support, Income from another household member's employment, Income from their employment",No,No.,,Yes,,No,,2000,Failure to pay rent,,Yes,2 months,2 months,Job loss or reduced/inconsistent hours,,,,No,Less than 1 year,No,Another apartment,Yes,Yes,No,Yes,Approved,,,,Yes,Self-represented,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,No,Moved,Less than 30 days,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1468063,,23-0520361,7/5/2023,12/24/2023,20746,Prince George's County,Female,"African American or Black, not of Hispanic Origin",29,English,No,,1,3,60320,Income from their employment,Yes,No.,,Yes,,No,,1357,Failure to pay rent,,No,4 months,6 or more months,"Competing expense, Withheld rent due to conditions issues","Infestation or pests, Mold, Plumbing leaks (including sewer/sewage issues)",,Yes,"Yes, some of it",1-2 years,No,Not asked,Yes,Yes,Yes,Not asked,,,,,,Represented by attorney,"Prevent eviction judgment, Prevent involuntary move",,,,,,,Achieved,Achieved,,,,,,,,0,Yes – the amount was reduced through legal negotiation,Stayed,,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
1468082,,23-0520368,7/6/2023,12/30/2023,20737,Prince George's County,Male,"African American or Black, not of Hispanic Origin",74,English,No,,1,0,11472,SSI or SSD,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied  ",,No,District Court,Yes,Yes,185,Failure to pay rent,,Yes,6 or more months,6 or more months,Other,Other,,,"Yes, some of it",3-5 years,Yes,Unknown,No,,Yes,,,,Other,subsized housing senior citizen building,No,Represented by attorney,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Yes – the court found the amount due and owing to be less than the amount alleged in the complaint,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from public or subsidized housing,,In-house staff,ACE Special Fund
1468094,,23-0520372,7/6/2023,12/30/2023,20740,Prince George's County,Female,Other,30,English,No,,2,0,24000,Income from their employment,No,No.,,Yes,,No,,0,Breach of lease,,,,,,,,,,1-2 years,No,Unknown,Yes,Yes,No,,,,,,,Represented by attorney,"Prevent eviction judgment, Prevent involuntary move, Secure time to move (30 days or more)",,,,,,,Achieved,Achieved,,,,,,Achieved,,0,No,Stayed,,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
1468119,,23-0520385,7/6/2023,7/29/2023,21701,Frederick County,Female,"African American or Black, not of Hispanic Origin",31,English,Yes,No,1,2,20462,Income from their employment,Yes,"Yes, I tried to contact a legal services provider but no return call or was denied  ",,No,District Court,No,,0,Holdover,,,,,,,,,,Less than 1 year,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1468183,,23-0520405,7/6/2023,12/26/2023,20706,Prince George's County,Female,Other,21,English,No,,2,0,0,No income,No,No.,,Yes,,No,,0,Holdover,,,,,,,,,,,No,Another apartment,No,,Already vacated,No,,Other,,,,Self-represented,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Not applicable to this case,Moved,Less than 30 days,,Representation in Judicial Litigation,,,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,In-house staff,ACE Special Fund
1468244,,23-0520439,7/6/2023,8/28/2023,21117,Baltimore County,Male,"African American or Black, not of Hispanic Origin",39,English,,No,2,0,42000,"Income from another household member's employment, Income from their employment",No,No.,,Yes,,,,1061,Failure to pay rent,,Yes,I believe I am current on my rent,2 months,,,,,,3-5 years,Yes,Unknown,Yes,Yes,Yes,Yes,Approved,,Low Income Housing Tax Credit (LIHTC),,Yes,Represented by agent,Prevent eviction judgment,,,,,,,Not achieved,,,,,,,,,0,,,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
1468369,,23-0520484,7/6/2023,12/19/2023,21117,Baltimore County,Female,"African American or Black, not of Hispanic Origin",36,English,,,1,0,0,No income,Not asked,No.,,Yes,,No,,0,Failure to pay rent,,Not asked,1 month,4 months,Job loss or reduced/inconsistent hours,,,,"Yes, some of it",1-2 years,Not asked,Not asked,Yes,Yes,Yes,Not asked,,,,,Not asked,Represented by agent,Secure time to move (30 days or more),,,,,,,,,,,,,,Achieved,,0,Yes – the amount was reduced through legal negotiation,Stayed,,,Representation in Judicial Litigation,,,"Delayed eviction, providing time to seek alternative housing",,In-house staff,ACE Special Fund
1468461,,23-0520530,7/7/2023,7/17/2023,21286,Baltimore County,Female,"White, not of Hispanic Origin",25,English,,,1,0,15600,Income from their employment,Not asked,No.,,Yes,,No,,0,Failure to pay rent,,Not asked,1 month,1 month,,,,,"Yes, some of it",1-2 years,Not asked,Not asked,No,,Yes,Not asked,,,,,Not asked,Represented by agent,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,No,Stayed,,,Representation in Judicial Litigation,,,Prevented eviction from other housing,,In-house staff,ACE Special Fund
1468472,,23-0520538,7/7/2023,8/10/2023,21853,Somerset County,Female,"African American or Black, not of Hispanic Origin",39,English,No,,2,2,25572,"SSI or SSD, Temporary Cash Assistance (TCA)",Yes, ,,Yes,,Not asked,,709,Failure to pay rent,,No,,,,Wall/ceiling/floor damage,,,,3-5 years,Yes,Unknown,,,Yes,Yes,,,Low Income Housing Tax Credit (LIHTC),,No,Represented by agent,Prevent eviction judgment,,,,,,,Achieved,,,,,,,,,0,Not applicable to this case,Stayed,,,Negotiation,,,"Obtained representation in housing defensive litigation, Prevented eviction from public or subsidized housing",,In-house staff,ACE Special Fund
1468481,,23-0520542,7/7/2023,8/20/2024,21206,Baltimore City,Male,"African American or Black, not of Hispanic Origin",64,English,,No,2,0,36700,"Income from another household member's employment, Income from their employment",Not asked,No.,,No,District Court,Not asked,,1500,Holdover,,,,,,,,,,10+ years,No,Not asked,Not asked,,Not asked,Not asked,,,,,Not asked,Self-represented,Prevent eviction judgment,,,,,,,Planned,,,,,,,,,0,Not applicable to this case,,,,Representation in Judicial Litigation,,,Obtained representation in housing defensive litigation,,In-house staff,ACE Special Fund
