Client ID,Case ID#,Date Opened,Date Closed,County of Residence,Zip Code,ACE Gender,ACE Race/Ethnicity,Current Age,Total Annual Income ,Aware of ACE Before Calling,ACE Did you try to get legal representation in this case before today's hearing?,Disability in Household,Landlord Representation,Type of Eviction Case,ACE Other Type of Eviction Case,10 Day Notice from Landlord,Move Options,Wants to Stay in Rental Unit,ACE Case Resolutions,ACE Case Resolution Other Benefit,ACE Level of Service,ACE Level of Service Other Appropriate Remedies,ACE Level of Service Other Services Provided,ACE Request a Continuance,ACE Case Handler,ACE Funding Source,Tenant's Goals (Same Day),Goal Status - Prevent Eviction Judgment,Goal Status - Prevent Involuntary Move,Goal Status - Prevent Eviction Filing,Goal Status - Mitigate Damages,Goal Status - Secure More Time to Move,Goal Status - Secure Rent Assistance,Goal Status - Remediate Defective Conditions,Goal Status - Secure Monetary Relief,Goal Status - Avoid Subsidy Termination,Goal Status - Reduce Rent/Fee,Goal Status - Remedy Housing Discrimination,Goal Status - Obtain Accomodation,Goal Status - Recover Personal Property,Goal Status - Other Goal
1408715,22-0493323,3/18/2024,6/4/2024,Washington County,21740,Female,Prefer not to respond,37,0,No,"No, I found out about it in court",No,Self-represented,Failure to pay rent,,Unsure,Street/unsheltered,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1465603,23-0519232,8/11/2023,8/28/2023,Baltimore County,21209,Female,"African American or Black, not of Hispanic Origin",34,35760.4,Yes,,No,Represented by agent,Failure to pay rent,,No,Friends/family – outside of MD,Yes,"Obtained representation in housing defensive litigation, Prevented eviction from other housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,,,Achieved,,,,,,,,,
1467061,23-0519914,7/2/2023,12/24/2023,Prince George's County,20745,Male,"African American or Black, not of Hispanic Origin",37,37700,Yes,,Not asked,Represented by attorney,Failure to pay rent,,Yes,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,Achieved,,,,,,,,,,,,
1467814,23-0520233,7/5/2023,9/1/2023,Charles County,20640,Female,"White, not of Hispanic Origin",24,28800,No,"No, I found out about it in court",Not asked,Represented by agent,Failure to pay rent,,Yes,Friends/family – in MD,Not asked,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1467872,23-0520268,7/5/2023,7/20/2023,Baltimore County,21237,Female,"African American or Black, not of Hispanic Origin",29,33800,Not asked,,Not asked,Represented by agent,Failure to pay rent,,Yes,Not asked,Not asked,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1467877,23-0520272,7/5/2023,7/20/2023,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",29,0,Yes,,Not asked,Represented by agent,Failure to pay rent,,Yes,Not asked,Not asked,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1467880,23-0520274,7/5/2023,7/25/2023,Baltimore County,21244,Female,"African American or Black, not of Hispanic Origin",41,39260,Not asked,,Not asked,Represented by agent,Failure to pay rent,,Yes,Not asked,Not asked,Prevented eviction from other housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1467884,23-0520276,7/5/2023,7/20/2023,Baltimore County,21244,Male,"White, not of Hispanic Origin",41,27600,Prefer not to respond,,Not asked,Represented by agent,Failure to pay rent,,Unsure,Not asked,Not asked,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1467887,23-0520279,7/5/2023,7/19/2023,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",52,54600,Not asked,,Not asked,Represented by agent,Failure to pay rent,,Not asked,Not asked,Not asked,Prevented eviction from other housing,,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1467896,23-0520285,7/5/2023,7/20/2023,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",32,33600,Not asked,,Not asked,Represented by agent,Failure to pay rent,,Yes,Not asked,Not asked,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1467898,23-0520287,7/5/2023,7/25/2023,Baltimore County,21228,Female,"African American or Black, not of Hispanic Origin",53,36888,Not asked,,Not asked,Represented by agent,Failure to pay rent,,Yes,Not asked,Not asked,Prevented eviction from other housing,,Representation in Judicial Litigation,,,"Yes, I requested a continuance and it was granted",In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1467904,23-0520291,7/5/2023,7/20/2023,Baltimore County,21207,Female,"African American or Black, not of Hispanic Origin",28,41600,Not asked,,No,Represented by agent,Failure to pay rent,,Not asked,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,Goal changed,,Achieved,,,,,,,,,
1467911,23-0520296,7/5/2023,7/19/2023,Baltimore County,21244,Female,"African American or Black, not of Hispanic Origin",41,0,No,,No,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,Avoided or obtained redress for illegal or unfair charges by landlord,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468105,23-0520375,7/6/2023,8/16/2023,Montgomery County,20912,Female,"African American or Black, not of Hispanic Origin",41,30000,,,No,,Breach of lease,,,Unknown,,Obtained representation in housing defensive litigation,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,,,,,,,,,,
1468357,23-0520476,7/6/2023,7/20/2023,Baltimore County,21136,Female,"African American or Black, not of Hispanic Origin",39,11208,No,,Yes,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,Neither party requested a continuance,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
1468359,23-0520477,7/6/2023,7/20/2023,Baltimore County,21117,Female,Prefer not to respond,41,0,No,,Prefer not to respond,Represented by agent,Failure to pay rent,,,Not asked,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1468361,23-0520478,7/6/2023,7/19/2023,Baltimore County,21117,Female,"African American or Black, not of Hispanic Origin",37,0,No,,No,,Failure to pay rent,,Yes,Not asked,Yes,Prevented eviction from public or subsidized housing,,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,Achieved,,,,,,,,,,,,,
1468363,23-0520479,7/6/2023,7/20/2023,Baltimore County,21136,Male,"White, not of Hispanic Origin",66,10968,No,,Yes,Represented by agent,Failure to pay rent,,Yes,Not asked,Yes,"Delayed eviction, providing time to seek alternative housing",,Representation in Judicial Litigation,,,,In-house staff,ACE Special Fund,,,,,,Achieved,,,,,,,,,
